,United States - English,United States - Español,España - Español,Canada - French,France - Francais,United Kingdom - English,Australia - English,Canada - English
setup_c_body,"You will need about five minutes to complete everything, maybe less. 

You will be asked a few questions and then you will complete three quick tests. 

Press Next to begin.","Necesitará aproximadamente cinco minutos para completar todo, tal vez menos.

Se le harán unas pocas preguntas y luego completará tres tests breves.

Presione siguiente para continuar.","Las pruebas nole llevarán más de cinco minutos.

 Se le harán unas preguntas y luego realizará tres pruebas rápidas. 

Pulse «Siguiente» para comenzar.","Vous aurez besoin d’environ cinq minutes pour compléter le tout, peut-être moins.

On vous posera quelques questions, puis vous compléterez trois tests rapides.

Appuyez sur Suivant pour commencer","Ce test vous prendra environ cinq minutes au total, peut-être moins. 

Vous devrez répondre à quelques questions, puis passer trois tests rapides. 

Appuyez sur Suivant pour commencer.","You will need about five minutes to complete everything, maybe less. 

You will be asked a few questions and then you will complete three quick tests. 

Press Next to begin.","You will need about five minutes to complete everything, maybe less. 

You will be asked a few questions and then you will complete three quick tests. 

Press Next to begin.","You will need about five minutes to complete everything, maybe less. 

You will be asked a few questions and then you will complete three quick tests. 

Press Next to begin."
setup_c_header,TEST OVERVIEW,RESUMEN DEL TEST,DESCRIPCIÓN DE LAS PRUEBAS,APERÇU DU TEST,APERÇU DU TEST,TEST OVERVIEW,TEST OVERVIEW,TEST OVERVIEW
start,Start,Comenzar,Comenzar,Suivant,Démarrer,Start,Start,Start
startdate_body,Select your next test date (it should be 6 months from your last test date).,Fije la siguiente fecha de inicio del participante.,Configure la siguiente fecha de inicio del participante.,Veuillez déterminer la prochaine date de début pour le participant,Entrez la prochaine date de débutpourleparticipant.,Select your next test date (it should be 6 months from your last test date).,Select your next test date (it should be 6 months from your last test date).,Select your next test date (it should be 6 months from your last test date).
startdate_header,SET START DATE,CONFIGURAR FECHA DE INICIO ,CONFIGURAR FECHA DE INICIO,DÉTERMINER LA DATE DE DÉBUT,DÉFINIR LA DATE DE DÉBUT,SET START DATE,SET START DATE,SET START DATE
symbols_body,"You will see three pairs of symbols at the top of the screen and two pairs at the bottom. 

As quickly as you can, tap the pair at the bottom of the screen that matches one of the pairs at the top.
 
Press Start to begin.","Observará tres pares de símbolos en la parte superior de la pantalla y dos pares en la parte inferior.

Tan pronto pueda, presione el par en la parte inferior de la pantalla que concuerda con uno de los pares de la parte superior.

Presione Comenzar para dar inicio.","Verá tres pares de símbolos en la parte superior de la pantalla y dos pares en la parte inferior. 

Toque lo más rápido posible en la parte inferior de la pantalla el par que coincide con uno de los pares de la parte superior. 

Pulse «Comenzar» para empezar.","Vous verrez trois paires de symboles en haut de l’écran et deux paires en bas.

Aussi rapidement que possible, appuyez sur la paire située au bas de l’écran qui correspond à une des paires du haut.

Appuyez sur Début pour commencer","Trois paires de symboles vont être affichées en haut de l’écran et deux paires en bas.

Appuyez aussi vite que possible sur la paire du bas qui correspond à l’une des paires du haut.

Appuyez sur Démarrer pour commencer.","You will see three pairs of symbols at the top of the screen and two pairs at the bottom. 

As quickly as you can, tap the pair at the bottom of the screen that matches one of the pairs at the top.
 
Press Start to begin.","You will see three pairs of symbols at the top of the screen and two pairs at the bottom. 

As quickly as you can, tap the pair at the bottom of the screen that matches one of the pairs at the top.
 
Press Start to begin.","You will see three pairs of symbols at the top of the screen and two pairs at the bottom. 

As quickly as you can, tap the pair at the bottom of the screen that matches one of the pairs at the top.
 
Press Start to begin."
symbols_match,Which pair below matches one of the pairs on the top?,¿Qué par a continuación concuerda con uno de los pares en la parte superior?,¿Cuál de los pares de la parte inferior coincide con uno de los pares de la parte superior?,Quelle paire ci-dessous correspond à une des paires ci-dessus ?,Laquelle des paires ci-dessous correspond à l’une des paires du haut ?,Which pair below matches one of the pairs on the top?,Which pair below matches one of the pairs on the top?,Which pair below matches one of the pairs on the top?
symbols_or,Or,O,O,Ou,Ou,Or,Or,Or
symbols_subheader,Symbols Instructions,Instrucciones sobre los símbolos,Instrucciones sobre los símbolos,Instructions pour les symboles,Instructions relatives aux symboles,Symbols Instructions,Symbols Instructions,Symbols Instructions
test_finsh,"You finished this test, ready for the next one?","Ha finalizado este test, ¿listo para el siguiente?","Ya ha terminado esta prueba, ¿está listo para la siguiente?","Vous avez terminé ce test, prêt pour le prochain ?","Vous avez fini ce test, êtes-vous prêt pour le suivant ?","You finished this test, ready for the next one?","You finished this test, ready for the next one?","You finished this test, ready for the next one?"
test_intro_body,"You will now complete three quick tests. 

You cannot pause this test once it has been started.
 
Press Next to begin.","Ahora completará tres tests breves.

No podrá pausar este test después de iniciado.

Presione Siguiente para dar inicio.","Ahora realizará tres pruebas rápidas.

No puede pausar esta prueba una vez que haya comenzado.

Pulse «Siguiente» para empezar.","Vous allez maintenant compléter trois tests rapides.

Vous ne pouvez pas mettre ce test en pause une fois qu’il a été démarré.

Appuyez sur Suivant pour commencer","Vous allez maintenant passer trois tests rapides.

Vous ne pourrez pas interrompre ces tests une fois que vous aurez commencé.

Appuyez sur Suivant pour commencer.","You will now complete three quick tests. 

You cannot pause this test once it has been started.
 
Press Next to begin.","You will now complete three quick tests. 

You cannot pause this test once it has been started.
 
Press Next to begin.","You will now complete three quick tests. 

You cannot pause this test once it has been started.
 
Press Next to begin."
test_intro_header,INSTRUCTIONS,Instrucciones sobre los símbolos,INSTRUCCIONES,INSTRUCTIONS,INSTRUCTIONS,INSTRUCTIONS,INSTRUCTIONS,INSTRUCTIONS
undo,Undo,Deshacer,Deshacer,Annuler,Annuler,Undo,Undo,Undo
wakeup_0_q1,What time did you get in bed last night?,"¿A qué hora se fue a la cama anoche?
",¿A qué hora se acostó anoche?,À quelle heure vous êtes-vous couché la nuit dernière ?,À quelle heure vous êtes-vous couché hier soir ?,What time did you get in bed last night?,What time did you get in bed last night?,What time did you get in bed last night?
wakeup_0_q2,How long did it take you to fall asleep?,"¿A qué hora se fue a la cama anoche?
",¿Cuánto tiempo tardó en dormirse?,Combien de temps vous a-t-il fallu pour vous endormir ?,Combien de temps vous a-t-il fallu pour vous endormir ?,How long did it take you to fall asleep?,How long did it take you to fall asleep?,How long did it take you to fall asleep?
wakeup_0_q3,How many times did you wake up for 5 minutes or longer?,¿Cuántas veces se despertó durante 5 minutos o más?,¿Cuántas veces estuvo despierto durante 5 minutos o más?,Combien de fois vous êtes-vous réveillé pour une période de cinq minutes ou plus ?,Combien de fois vous êtes-vous réveillé au moins 5 minutes ?,How many times did you wake up for 5 minutes or longer?,How many times did you wake up for 5 minutes or longer?,How many times did you wake up for 5 minutes or longer?
wakeup_1_q1,What time did you wake up in the morning?,"¿A qué hora se despertó en la mañana?
",¿A qué hora se despertó por la mañana?,À quelle heure vous êtes-vous réveillé le matin ?,À quelle heure vous êtes-vous réveillé le matin ?,What time did you wake up in the morning?,What time did you wake up in the morning?,What time did you wake up in the morning?
wakeup_1_q2,What time did you get out of bed?,"¿A qué hora se levantó de la cama?
",¿A qué hora se levantó?,"À quelle heure vous êtes-vous levé ?
",À quelle heure vous êtes-vous levé ?,What time did you get out of bed?,What time did you get out of bed?,What time did you get out of bed?
wakeup_1_q3,How would you rate the quality of your sleep?,"¿Cómo calificaría la calidad de su sueño?
",¿Cómo evaluaría la calidad del sueño?,Comment évalueriez-vous la qualité de votre sommeil ?,"D’après vous, quelle est la qualité de votre sommeil ?",How would you rate the quality of your sleep?,How would you rate the quality of your sleep?,How would you rate the quality of your sleep?
wakeup_excellent,EXCELLENT,EXCELENTE,EXCELENTE,EXCELLENTE,EXCELLENTE,EXCELLENT,EXCELLENT,EXCELLENT
wakeup_header,WAKE SURVEY,"ENCUESTA SOBRE LA VIGILIA
",ENCUESTA SOBRE LAS HORAS DE VIGILIA,ENQUÊTE SUR LE RÉVEIL,ÉTUDE DE RÉVEIL,WAKE SURVEY,WAKE SURVEY,WAKE SURVEY
wakeup_poor,POOR,MALO,MALA,MAUVAISE,MAUVAISE,POOR,POOR,POOR
weekday_sunday        ,Sunday,Domingo,Domingo,Dimanche,Dimanche,Sunday,Sunday,Sunday
weekday_monday,Monday,Lunes,Lunes,Lundi,Lundi,Monday,Monday,Monday
weekday_tuesday,Tuesday,Martes,Martes,Mardi,Mardi,Tuesday,Tuesday,Tuesday
weekday_wednesday,Wednesday,Miércoles,Miércoles,Mercredi,Mercredi,Wednesday,Wednesday,Wednesday
weekday_thursday,Thursday,Jueves,Jueves,Jeudi,Jeudi,Thursday,Thursday,Thursday
weekday_friday,Friday,Viernes,Viernes,Vendredi,Vendredi,Friday,Friday,Friday
weekday_saturday,Saturday,Sábado,Sábado,Samedi,Samedi,Saturday,Saturday,Saturday
weekdays_su,Su,DO,DO,DI,DI,Su,Su,Su
weekdays_mo,Mo,LU,LU,LU,LU,Mo,Mo,Mo
weekdays_tu,Tu,MA,MA,MA,MA,Tu,Tu,Tu
weekdays_we,We,MI,MI,ME,ME,We,We,We
weekdays_th,Th,JU,JU,JE,JE,Th,Th,Th
weekdays_fr,Fr,VI,VI,VE,VE,Fr,Fr,Fr
weekdays_sa,Sa,SA,SA,SA,SA,Sa,Sa,Sa
yes,Yes,Si,Sí,Oui,Oui,Yes,Yes,Yes
between_edit_availability,Edit Availability,Editar disponibilidad,Editar disponibilidad,Modifier la disponibilité,Modifier la disponibilité,EDIT AVAILABILITY,EDIT AVAILABILITY,EDIT AVAILABILITY
between_header,HOME,Inicio ,INICIO,Page d’accueil,Accueil,HOME,HOME,HOME
between_body,"There are no tests available at this time. 
You will be notified when it is time to start.","No hay tests disponibles en este momento. 
Se le notificará cuando sea el momento de comenzar.","Actualmente no hay ninguna prueba disponible.
Le notificaremos cuando deba comenzar.",Il n’y a pas de tests disponibles pour le moment. Vous serez avisé lorsqu’il sera temps de commencer.,"Aucun test n’est disponible actuellement.
Vous recevrez une notification lorsque vous devrez commencer.","There are no tests available at this time. 
You will be notified when it is time to start.","There are no tests available at this time. 
You will be notified when it is time to start.","There are no tests available at this time. 
You will be notified when it is time to start."
between_questions,"Questions? 
Contact EXR ARC Coordinator.","¿Tiene preguntas?
Contacte al coordinador del centro.","¿Tiene preguntas? 
Contacte con el coordinador del centro.","Questions ? 
Communiquez avec le coordonnateur du site.","Des questions ? 
Contactez le coordinateur du centre.","Questions? 
Contact EXR ARC Coordinator.","Questions?
Contact EXR ARC Coordinator.","Questions?
Contact EXR ARC Coordinator."
notest_adjust,I NEED TO ADJUST MY TEST DATE,Necesito MODIFICAR LA FECHA DE MI TEST,NECESITO AJUSTAR LA FECHA DE LA PRUEBA,Je dois CHANGER LA DATE DE MON TEST,"Je dois MODIFIER MA DATE DE TEST
",I NEED TO ADJUST MY TEST DATE,I NEED TO ADJUST MY TEST DATE,I NEED TO ADJUST MY TEST DATE
notification_take,It’s time to take a quick test!,¡Es hora de completar un breve test!,¡Es hora de hacer una prueba rápida!,Il est temps de passer un test rapide !,Il est l’heure de passer un test rapide !,It’s time to take a quick test!,It’s time to take a quick test!,It’s time to take a quick test!
format_date,MM/dd/yy,MM/dd/yy,dd/MM/yy,MM/dd/yy,dd/MM/yy,dd/MM/yy,dd/MM/yy,MM/dd/yy
notification_next1,Your next test will be on {DATE}.,El siguiente test será el {DATE},Su siguiente prueba será el {DATE}.,Votre prochain test sera le {DATE},Votre prochain test aura lieu le {DATE}.,Your next test will be on {DATE}.,Your next test will be on {DATE}.,Your next test will be on {DATE}.
notification_missed,"You've missed your tests. If you're unable 
to finish this week, please contact your site coordinator.        ","No ha completado los tests. Si no puede 
terminar esta semana, contacte al coordinador del centro.        ","No ha realizado las pruebas. Si no puede hacerlo esta semana, contacte con el coordinador del centro.","Vous avez manqué vos tests. Si vous n’êtes pas capable de terminer cette semaine, veuillez communiquer avec votre coordonnateur de site.","Vous avez manqué vos tests. Si vous ne pouvez pas les passer cette semaine, contactez le coordinateur de votre centre.","You've missed your tests. If you're unable 
to finish this week, please contact your site 
coordinator.	","You've missed your tests. If you're unable 
to finish this week, please contact your site 
coordinator.	","You've missed your tests. If you're unable 
to finish this week, please contact your site 
coordinator.	"
notification_confirm,Please confirm your next testing date.,Confirme la próxima fecha de inicio del test.,Confirme la fecha de la siguiente prueba.,Veuillez confirmer la date de votre prochain test.,Confirmez la date de début de votre prochain test.,Please confirm your next test date.,Please confirm your next testing start date.,Please confirm your next testing start date.
upgrade_header,CONFIRM PHONE,CONFIRME EL TELÉFONO,CONFIRMAR TELÉFONO,CONFIRMER LE NUMÉRO DE TÉLÉPHONE,CONFIRMER LE TÉLÉPHONE,CONFIRM PHONE,CONFIRM PHONE,CONFIRM PHONE
upgrade_body,Do you plan to upgrade your phone in the next 3 months?,"¿Planea actualizar su teléfono en los próximos tres meses?
",¿Tiene planeado actualizar su teléfono en los próximos 3 meses?,Prévoyez-vous mettre à niveau votre téléphone au cours des trois prochains mois ?,Envisagez-vous de changer de téléphone au cours des 3 prochains mois ?,Do you plan to upgrade your phone in the next 3 months?,Do you plan to upgrade your phone in the next 3 months?,Do you plan to upgrade your phone in the next 3 months?
confirm_header,CONFIRM START DATE,Confirme la fecha de inicio,CONFIRMAR FECHA DE INICIO,Confirmer la date de début,Confirmer la date de début,CONFIRM START DATE,CONFIRM START DATE,CONFIRM START DATE
confirm_body1,Your next test will begin on {DATE} .,El próximo test será el {DATE},Su siguiente prueba comenzará el {DATE}.,Votre prochain test sera le {DATE},Votre prochain test aura lieu le {DATE},Your next test will begin on {DATE} .,Your next test will begin on {DATE} .,Your next test will begin on {DATE} .
confirm_body2,Please confirm or adjust the start date.,"NECESITO MODIFICAR LA FECHA DE INICIO
",Confirme o ajuste esta fecha de inicio.,Veuillez confirmer ou changer la date de début.,Confirmez ou modifiez la date de début.,Please confirm or adjust the start date.,Please confirm or adjust the start date.,Please confirm or adjust the start date.
baseline_sitecoordinator,Site Coordinator,Coordinador del centro,Coordinador del centro,Coordonnateur du site,Coordinateur du centre,Site Coordinator,Site Coordinator,Site Coordinator
edit,Edit,Editar,Modificar,Éditer,Modifier,Edit,Edit,Edit
choosetime,Choose Time,Elija una hora,Seleccionar hora,Choisir l’heure,Choisir l’heure,Choose Time,Choose Time,Choose Time
chooseanswer,Choose Answer,Elija la respuesta,Seleccionar respuesta,Choisir une réponse,Choisir une réponse,Choose Answer,Choose Answer,Choose Answer
time_hours,hours,horas,horas,heures,heures,hours,hours,hours
time_hour,hour,hora,hora,heure,heure,hour,hour,hour
time_hr,hr,hr,hr,hr,hr,hr,hr,hr
time_min,min,min,min,min,min,min,min,min
test,TEST ,CUESTIONARIO,PRUEBA,TEST,TEST,TEST,TEST,TEST
adjust_start_date,I NEED TO ADJUST MY START DATE,NECESITO MODIFICAR LA FECHA DE INICIO,NECESITO AJUSTAR LA FECHA DE INICIO,"JE DOIS CHANGER LA DATE DE DÉBUT
","JE DOIS MODIFIER LA DATE DE DÉBUT
",I NEED TO ADJUST MY START DATE,I NEED TO ADJUST MY START DATE,I NEED TO ADJUST MY START DATE
